drcPercentage,moistureContent,impurities,colorScore,qualityGrade
65.2,0.5,0.3,9.2,A
68.5,0.3,0.2,9.5,A
62.8,0.6,0.4,8.8,A
66.1,0.4,0.25,9.1,A
64.9,0.55,0.35,8.9,A
67.2,0.35,0.28,9.3,A
63.5,0.58,0.38,8.7,A
69.1,0.25,0.18,9.6,A
65.8,0.45,0.32,9.0,A
66.5,0.42,0.3,9.2,A
52.3,1.2,0.8,7.5,B
48.7,1.0,0.7,7.8,B
55.1,1.3,0.85,7.2,B
49.5,1.1,0.75,7.6,B
51.9,1.4,0.9,7.0,B
54.0,0.95,0.68,8.0,B
52.8,1.18,0.78,7.4,B
49.8,1.05,0.72,7.7,B
53.5,1.28,0.82,7.1,B
50.5,1.02,0.7,7.9,B
38.5,2.1,1.5,5.8,C
35.2,1.9,1.35,6.1,C
42.8,2.2,1.58,5.5,C
36.5,2.0,1.42,5.9,C
39.9,2.35,1.65,5.2,C
41.0,1.85,1.3,6.3,C
38.8,2.05,1.48,5.7,C
40.5,1.92,1.38,6.0,C
37.5,2.25,1.6,5.4,C
39.8,1.98,1.4,6.0,C
25.5,3.2,2.5,3.8,D
22.2,2.9,2.3,4.2,D
28.8,3.4,2.7,3.5,D
26.5,3.0,2.4,4.0,D
23.9,3.6,2.9,3.2,D
27.0,2.8,2.2,4.5,D
25.2,3.25,2.55,3.7,D
26.8,2.95,2.35,4.1,D
24.5,3.45,2.75,3.4,D
27.5,2.85,2.25,4.3,D




